,City,Cloudiness,Country,Date,Humidity,Lat,Longitude,Max Temp,Wind Speed (mph)
361,dembi dolo,0,ET,1572663038,96,8.53,34.8,58.59,3.31
362,kimberley,99,ZA,1572663038,61,-28.74,24.76,58.46,11.45
363,bhalwal,48,PK,1572663038,46,32.26,72.91,72.21,8.21
364,bonthe,78,SL,1572663038,84,7.53,-12.5,77.18,3.29
365,toora-khem,71,RU,1572663039,80,52.47,96.11,34.07,1.25
366,porto novo,40,BR,1572662886,73,-23.68,-45.44,71.6,8.05
367,buala,100,SB,1572663039,80,-8.15,159.59,81.97,8.57
368,fairbanks,90,US,1572662782,100,64.84,-147.72,28.4,3.36
369,moose factory,90,CA,1572663039,80,51.26,-80.61,30.2,3.36
370,cabinda,97,AO,1572663040,84,-5.56,12.19,79.59,12.33
371,gisors,90,FR,1572663040,87,49.28,1.78,60.8,13.87
372,mount isa,34,AU,1572662833,28,-20.73,139.49,95.0,20.8
373,hermosillo,20,MX,1572663040,29,29.09,-110.96,78.01,4.7
374,magadi,40,IN,1572663040,88,12.96,77.22,82.99,2.24
375,jizan,76,SA,1572663041,83,16.89,42.56,80.6,3.36
376,the valley,20,AI,1572662953,75,18.22,-63.06,81.0,4.7
377,nanortalik,74,GL,1572663041,87,60.14,-45.24,32.92,2.62
378,calarasi,87,RO,1572663041,74,44.2,27.33,45.41,10.02
379,beira,90,ES,1572663042,100,43.2,-8.36,62.01,6.93
380,esperance,75,AU,1572663042,87,-33.86,121.89,57.2,14.99
381,buraydah,0,SA,1572663042,68,26.33,43.97,64.4,6.93
